S.N.,DISTRICT,LOCATION,LATITUDE,LONGITUDE,PH,EC,TDS,TH,CO3,HCO3,CL,S04,NO3,F,ALK,CA,MG,NA,K,SIO2,SAR
102.0,Bhavnagar,Datha,21.21385,71.95005,8.45,1435,961,220.0,84.0,122.0,312.0,50.0,7.53,1.09,240.0,44.0,27.0,224.0,9.25,19.0,6.57
103.0,Bhavnagar,Dudhala,21.14092,71.65106,7.94,2540,1702,840.0,0.0,305.0,540.0,154.0,167.35,0.46,250.0,88.0,151.0,214.0,4.0,101.0,3.21
104.0,Bhavnagar,Gariyadhar,21.54434,71.56363,7.83,2595,1739,820.0,0.0,244.0,525.0,284.0,152.9,0.65,200.0,88.0,146.0,231.0,0.87,91.0,3.51
105.0,Bhavnagar,Ghogha,21.68028,72.28174,8.42,2780,1863,420.0,120.0,403.0,391.0,199.0,182.2,0.29,530.0,92.0,46.0,420.0,63.0,51.0,8.91
106.0,Bhavnagar,Jalia,21.79995,71.61096,7.3,2910,1950,1050.0,0.0,293.0,689.0,210.0,82.65,0.5,240.0,224.0,119.0,226.0,1.7,82.0,3.03
107.0,Bhavnagar,Longadi,21.21325,71.88606,8.2,760,509,140.0,0.0,293.0,78.0,40.0,6.38,0.6,240.0,40.0,10.0,96.0,28.7,68.0,3.51
108.0,Bhavnagar,Lonjdhara,22.09637,71.89315,8.48,1445,968,280.0,72.0,317.0,213.0,28.0,77.25,1.72,380.0,32.0,49.0,238.0,0.69,89.0,6.19
109.0,Bhavnagar,Mahuva,21.09996,71.74701,8.52,5070,3397,220.0,132.0,451.0,1115.0,310.0,72.25,0.94,590.0,24.0,39.0,1025.0,2.16,42.0,30.05
110.0,Bhavnagar,Motivadal,21.1915,71.5491,8.26,1230,824,440.0,0.0,403.0,185.0,65.0,25.0,0.35,330.0,64.0,68.0,99.0,6.86,74.0,2.06
111.0,Bhavnagar,Panchpipla,21.54456,71.72486,8.16,1535,1028,350.0,0.0,403.0,284.0,65.0,36.0,0.64,330.0,40.0,61.0,210.0,0.56,56.0,4.87
33.0,Amreli,Sanaria,21.55006,71.43192,8.25,4030,2700,550.0,0.0,464.0,511.0,950.0,3.19,1.2,380.0,72.0,90.0,685.0,5.83,7.0,12.7
34.0,Amreli,Trakuda,21.01651,71.28288,8.62,738,494,260.0,36.0,146.0,107.0,46.0,30.33,0.76,180.0,60.0,27.0,65.0,1.97,33.0,1.75
35.0,Amreli,Untvad,21.9068,71.22283,8.38,1060,710,420.0,60.0,73.0,135.0,90.0,135.8,0.8,160.0,100.0,41.0,68.0,0.5,51.0,1.44
36.0,Amreli,Vaghania juna,21.58344,70.9695,8.28,1960,1313,360.0,0.0,488.0,341.0,100.0,95.0,1.06,400.0,36.0,66.0,300.0,17.0,68.0,6.87
37.0,Amreli,Vanda,21.38972,71.5075,8.65,1710,1146,70.0,108.0,464.0,227.0,57.0,5.81,1.04,560.0,16.0,7.0,394.0,2.31,18.0,20.47
38.0,Amreli,Vankiya,21.53957,71.16553,8.26,1490,998,250.0,0.0,366.0,270.0,68.0,35.0,0.78,300.0,36.0,39.0,230.0,1.63,41.0,6.32
39.0,Amreli,Virpur,21.25393,71.14588,8.23,775,519,310.0,0.0,403.0,43.0,28.0,11.69,0.42,330.0,64.0,36.0,52.0,4.25,37.0,1.28
40.0,Anand,Adas_DW,22.47249,73.03515,8.33,1760,1179,625.0,60.0,464.0,213.0,25.0,86.1,0.55,480.0,44.0,125.0,95.0,3.17,38.0,1.65
41.0,Anand,Anklav2,22.37637,72.99713,8.39,1895,1270,640.0,60.0,604.0,213.0,32.0,40.3,0.72,595.0,20.0,143.0,140.0,2.61,70.0,2.41
42.0,Anand,Bandhani,22.53797,72.81221,8.27,2246,1505,720.0,60.0,397.0,454.0,21.0,69.0,1.05,425.0,132.0,95.0,162.0,33.0,27.0,2.62
43.0,Anand,Bhadran (Utiyapara),22.38449,72.90135,8.27,686,460,300.0,60.0,177.0,57.0,8.0,5.0,0.42,245.0,52.0,41.0,19.0,1.31,37.0,0.47
44.0,Anand,Dali,22.2832,72.76294,8.52,3276,2195,650.0,66.0,622.0,589.0,161.0,15.6,1.18,620.0,180.0,49.0,541.0,23.0,51.0,9.23
45.0,Anand,Dharmaj,22.42074,72.78741,8.62,2796,1873,310.0,126.0,738.0,269.0,108.0,106.0,1.39,815.0,32.0,56.0,492.0,2.48,78.0,12.14
46.0,Anand,Ghora,22.69264,73.04956,8.33,2395,1605,690.0,6.0,354.0,518.0,112.0,42.0,0.57,300.0,264.0,7.0,207.0,20.0,58.0,3.42
47.0,Anand,Kansari1,22.34128,72.65155,8.54,5090,3410,700.0,168.0,488.0,1099.0,233.0,22.7,0.82,680.0,100.0,109.0,846.0,3.47,50.0,13.91
48.0,Anand,Parvata,22.69117,73.0849,8.28,1368,917,460.0,90.0,287.0,170.0,65.0,6.9,1.03,385.0,72.0,68.0,97.0,2.55,39.0,1.96
49.0,Anand,Tol,22.49961,72.59696,6.91,700,469,270.0,0.0,207.0,78.0,20.0,62.0,0.65,170.0,48.0,36.0,32.0,7.01,23.0,0.84
50.0,Arvalli,Shamlaji,23.683,73.36843,7.72,451,302,140.0,0.0,159.0,50.0,17.0,3.2,0.85,130.0,40.0,10.0,41.0,0.65,22.0,1.51
51.0,Arvalli,Bhiloda2,23.76232,73.26778,7.71,839,562,240.0,0.0,256.0,113.0,42.0,26.0,0.93,210.0,48.0,29.0,84.0,3.1,26.0,2.36
52.0,Arvalli,Takatuka_1,23.8031,73.28951,7.63,1822,1221,430.0,0.0,317.0,355.0,63.0,89.0,0.59,260.0,88.0,51.0,222.0,1.4,24.0,4.65
53.0,Arvalli,Gadada,23.59517,73.20598,7.94,1683,1128,570.0,0.0,183.0,255.0,217.0,146.0,1.2,150.0,100.0,78.0,130.0,0.65,32.0,2.37
54.0,Arvalli,Medasana,23.52886,73.21644,8.13,904,606,250.0,0.0,183.0,142.0,44.0,46.0,0.55,150.0,48.0,32.0,92.0,0.63,33.0,2.53
55.0,Arvalli,Modasa2,23.46114,73.30266,8.02,738,494,170.0,0.0,134.0,113.0,50.0,34.0,0.73,110.0,40.0,17.0,88.0,2.7,50.0,2.93
56.0,Arvalli,Seenawad,23.47635,73.3956,7.86,1590,1065,550.0,0.0,134.0,333.0,130.0,110.0,0.87,110.0,120.0,61.0,99.0,17.0,26.0,1.84
57.0,Arvalli,Hamirpur,23.40632,73.4606,7.74,1340,898,470.0,0.0,146.0,284.0,56.0,97.0,1.1,120.0,124.0,39.0,95.0,0.97,26.0,1.91
58.0,Arvalli,Malpur_1,23.37151,73.4555,7.93,756,507,310.0,0.0,183.0,64.0,37.0,122.0,0.72,150.0,68.0,34.0,35.0,0.45,43.0,0.86
59.0,Arvalli,Karanpur,23.33241,73.32694,7.89,633,424,180.0,0.0,183.0,85.0,23.0,32.0,0.67,150.0,44.0,17.0,69.0,0.4,15.0,2.24
60.0,Arvalli,Dhansura,23.34719,73.19948,7.91,984,659,380.0,0.0,305.0,121.0,56.0,51.0,0.59,250.0,52.0,61.0,72.0,0.54,63.0,1.61
61.0,Arvalli,Alwa Kampa,23.277,73.21062,8.15,906,607,290.0,0.0,366.0,85.0,43.0,31.0,0.7,300.0,36.0,49.0,94.0,0.58,64.0,2.4
62.0,Arvalli,Boral,23.12906,73.21503,7.9,3364,2254,861.0,0.0,342.0,815.0,69.0,131.0,0.5,280.0,80.0,161.0,345.0,1.2,57.0,5.11
63.0,Arvalli,Sathamba,23.17337,73.3304,8.35,768,515,290.0,36.0,293.0,64.0,23.0,4.8,0.75,300.0,44.0,44.0,61.0,2.7,52.0,1.56
64.0,Banaskantha,Dantiwada,24.31485,72.32659,8.07,566,379,240.0,0.0,220.0,64.0,21.0,26.5,0.23,180.0,68.0,17.0,32.0,0.83,33.0,0.9
65.0,Banaskantha,Sodhapur,24.40309,72.29688,8.26,908,608,170.0,0.0,390.0,85.0,35.0,30.0,1.31,320.0,40.0,17.0,152.0,2.5,33.0,5.07
66.0,Banaskantha,Gangundra,24.43964,72.3648,7.74,3320,2224,1000.0,0.0,439.0,852.0,120.0,79.65,1.33,360.0,216.0,112.0,312.0,18.0,44.0,4.28
67.0,Banaskantha,Khoda,24.65671,71.77069,8.97,2518,1687,150.0,120.0,464.0,412.0,140.0,10.9,1.38,580.0,12.0,29.0,510.0,9.05,16.0,18.09
68.0,Banaskantha,Mohabatgadh,24.15584,72.70437,7.77,1255,841,420.0,0.0,171.0,277.0,60.0,77.85,0.99,140.0,144.0,15.0,120.0,2.74,38.0,2.55
69.0,Banaskantha,Ratanpur,24.17833,72.74837,7.43,1243,833,490.0,0.0,183.0,213.0,70.0,142.7,0.24,150.0,136.0,36.0,90.0,2.4,42.0,1.77
70.0,Banaskantha,Ghanapipdi,24.29368,72.94674,7.8,830,556,280.0,0.0,342.0,71.0,36.0,41.65,1.5,280.0,60.0,32.0,80.0,2.15,53.0,2.08
71.0,Banaskantha,Amirgadh,24.40072,72.64781,8.14,2998,2009,880.0,0.0,622.0,611.0,162.0,94.85,0.74,510.0,112.0,146.0,355.0,3.75,53.0,5.2
1.0,Ahmedabad,Dalod,23.36667,71.96667,7.9,12860,8616,1290.0,0.0,1220.0,3834.0,625.0,5.6,4.2,1000.0,136.0,231.0,2400.0,55.0,33.0,29.05
2.0,Ahmedabad,Dhandhuka1,22.375,71.98611,8.37,12310,8248,1300.0,192.0,537.0,3195.0,755.0,46.0,5.0,760.0,96.0,258.0,2140.0,28.0,51.0,25.81
3.0,Ahmedabad,Endla,23.27222,72.05833,7.67,713,478,260.0,0.0,342.0,43.0,42.0,5.0,0.54,280.0,52.0,32.0,50.0,10.0,22.0,1.35
4.0,Ahmedabad,Gamph,22.35833,72.16667,7.87,430,288,140.0,0.0,195.0,36.0,16.0,0.7,0.67,160.0,28.0,17.0,42.0,3.2,34.0,1.54
5.0,Ahmedabad,Ghuma,23.03333,72.44583,7.34,4252,2849,750.0,0.0,781.0,888.0,280.0,0.5,0.67,640.0,92.0,126.0,485.0,225.0,34.0,7.7
6.0,Ahmedabad,Kumarkhan,22.9,72.01667,7.51,9154,6133,760.0,0.0,695.0,2485.0,410.0,14.0,2.1,570.0,100.0,124.0,1720.0,42.0,45.0,27.13
7.0,Ahmedabad,Mandal2,23.275,71.91667,8.71,3827,2564,180.0,60.0,195.0,973.0,226.0,1.2,1.65,260.0,36.0,22.0,750.0,3.1,18.0,24.31
8.0,Ahmedabad,Tagadi1,22.29583,71.94722,7.65,1642,1100,320.0,0.0,415.0,241.0,185.0,21.0,1.92,340.0,64.0,39.0,248.0,4.8,26.0,6.02
9.0,Ahmedabad,Ughraj1,23.36667,72.1,7.65,610,409,180.0,0.0,256.0,57.0,45.0,0.3,1.2,210.0,36.0,22.0,70.0,1.6,17.0,2.27
10.0,Ahmedabad,Viramgam2,23.14167,72.03333,8.13,6681,4476,410.0,0.0,781.0,1775.0,370.0,1.7,1.21,640.0,44.0,73.0,1400.0,9.3,26.0,30.06
11.0,Ahmedabad,Koth,22.65505,72.2878,7.87,611,409,200.0,0.0,207.0,57.0,46.0,21.0,0.48,170.0,64.0,10.0,55.0,0.2,9.0,1.69
12.0,Ahmedabad,Vagad,22.2971,71.94673,7.3,7736,5183,1460.0,0.0,891.0,1562.0,1075.0,1.7,2.0,730.0,248.0,204.0,1110.0,31.0,76.0,12.63
13.0,Ahmedabad,Vinchhiya,22.92524,72.2912,7.83,2632,1763,360.0,0.0,744.0,341.0,259.0,0.0,1.31,610.0,64.0,49.0,450.0,4.0,21.0,10.31
14.0,Ahmedabad,Viramgam,23.13639,72.03861,8.16,6724,4505,370.0,0.0,757.0,1773.0,389.0,2.8,1.3,620.0,44.0,63.0,1432.0,11.0,25.0,32.37
15.0,Ahmedabad,Dalod,23.35278,71.9675,8.01,12980,8697,1271.0,0.0,1196.0,3772.0,638.0,12.0,4.1,981.0,144.0,221.0,2480.0,53.0,31.0,30.26
16.0,Ahmedabad,Endla,23.28028,72.04861,7.87,688,461,250.0,0.0,329.0,43.0,36.0,3.0,0.5,270.0,48.0,32.0,50.0,11.0,20.0,1.37
17.0,Amreli,Ankadia mota,21.64529,71.10612,8.14,1300,871,360.0,0.0,293.0,199.0,88.0,88.8,0.85,240.0,64.0,49.0,155.0,1.61,48.0,3.56
18.0,Amreli,Bagasara,21.47675,70.96082,8.18,2358,1580,490.0,0.0,171.0,454.0,195.0,161.7,0.66,140.0,108.0,54.0,280.0,1.77,47.0,5.5
19.0,Amreli,Bherai,20.97403,71.48683,8.2,2140,1434,360.0,0.0,244.0,511.0,80.0,11.44,0.72,200.0,56.0,54.0,300.0,29.0,30.0,6.87
20.0,Amreli,Bhuva,21.42771,71.35965,8.39,8258,5533,530.0,192.0,488.0,1995.0,514.0,171.25,1.04,720.0,32.0,109.0,1580.0,72.0,34.0,29.84
21.0,Amreli,Chavand,21.81105,71.40574,8.12,670,449,210.0,0.0,317.0,57.0,20.0,11.0,0.9,260.0,40.0,27.0,71.0,0.9,46.0,2.12
22.0,Amreli,Dharai (Balmukund),21.80774,71.14809,8.33,925,620,310.0,36.0,183.0,135.0,55.0,31.16,0.75,210.0,68.0,34.0,84.0,0.85,44.0,2.07
23.0,Amreli,Goradka,21.22802,71.40808,8.01,1190,797,460.0,0.0,195.0,178.0,94.0,116.85,0.66,160.0,88.0,58.0,76.0,0.63,60.0,1.55
24.0,Amreli,Ingorala,21.22684,71.20257,8.26,775,519,260.0,0.0,281.0,64.0,76.0,29.21,0.64,230.0,36.0,41.0,75.0,0.69,45.0,2.02
25.0,Amreli,Kadiyali,20.86175,71.30227,7.79,4710,3156,750.0,0.0,183.0,1377.0,158.0,8.44,1.09,150.0,164.0,83.0,660.0,10.0,22.0,10.48
26.0,Amreli,Khamba,21.14645,71.23811,8.3,668,448,210.0,48.0,220.0,50.0,23.0,10.21,0.75,260.0,40.0,27.0,70.0,0.86,39.0,2.1
27.0,Amreli,Kunkavav,21.6555,70.98048,7.97,1550,1039,450.0,0.0,329.0,270.0,120.0,77.6,0.82,270.0,72.0,66.0,166.0,1.19,68.0,3.41
28.0,Amreli,Lathi,21.72698,71.38298,8.27,1535,1028,280.0,0.0,268.0,298.0,67.0,24.46,0.92,220.0,32.0,49.0,204.0,2.49,55.0,5.31
29.0,Amreli,Mandal,21.09944,71.57929,7.89,4648,3114,1310.0,0.0,195.0,1179.0,190.0,250.0,0.89,160.0,204.0,195.0,400.0,6.45,87.0,4.81
30.0,Amreli,Morjhar,21.37577,71.11398,8.35,895,600,320.0,48.0,171.0,149.0,31.0,30.4,0.63,220.0,60.0,41.0,73.0,1.0,48.0,1.77
31.0,Amreli,Piyava,21.37955,71.46023,8.47,1350,905,260.0,72.0,366.0,156.0,26.0,76.0,0.82,420.0,28.0,46.0,206.0,0.81,47.0,5.55
153.0,Dang,Subir,20.92222,73.58056,8.25,385,258,170.0,0.0,134.0,43.0,27.0,5.29,0.16,110.0,32.0,22.0,18.0,0.74,55.0,0.6
154.0,Dang,Ahwa1,20.75833,73.68333,7.5,721,483,260.0,0.0,256.0,99.0,41.0,0.58,0.21,210.0,72.0,19.0,59.0,11.0,29.0,1.59
155.0,Dang,Umberpada,20.68333,73.725,7.8,387,259,170.0,0.0,183.0,28.0,16.0,1.56,0.29,150.0,40.0,17.0,18.0,1.34,42.0,0.6
156.0,Dang,Malegaon,20.6,73.74583,7.88,438,293,210.0,0.0,195.0,43.0,14.0,4.62,0.29,160.0,60.0,15.0,15.0,0.42,48.0,0.45
157.0,Dang,Jakana,20.63333,73.74583,8.02,586,393,280.0,0.0,232.0,50.0,25.0,30.0,0.27,190.0,72.0,24.0,18.0,0.74,64.0,0.47
158.0,Dang,Dhumkal,20.64583,73.79167,8.04,545,365,260.0,0.0,220.0,50.0,24.0,25.0,0.21,180.0,68.0,22.0,20.0,0.74,49.0,0.54
159.0,Dang,Boripada,20.64,73.69139,7.71,438,293,200.0,0.0,244.0,21.0,7.0,5.05,0.27,200.0,56.0,15.0,16.0,0.98,76.0,0.49
160.0,Dang,Chikhli,20.64,73.69139,7.91,375,251,160.0,0.0,171.0,21.0,6.0,0.18,0.23,140.0,52.0,7.0,10.0,0.23,61.0,0.34
161.0,Dang,Nana pada,20.7,73.58333,8.03,388,260,190.0,0.0,220.0,14.0,7.0,1.04,0.26,180.0,44.0,19.0,12.0,0.26,60.0,0.38
162.0,Dang,Sakarpatal,20.71944,73.55694,8.03,398,267,190.0,0.0,207.0,21.0,8.0,9.22,0.24,170.0,52.0,15.0,13.0,0.2,60.0,0.41
163.0,Dang,Waghai,20.76389,73.50444,7.95,610,409,290.0,0.0,220.0,64.0,43.0,12.0,0.24,180.0,52.0,39.0,22.0,0.32,62.0,0.56
164.0,Dang,Chinchnogaotha,20.80833,73.55278,7.81,649,435,310.0,0.0,232.0,71.0,30.0,31.0,0.31,190.0,76.0,29.0,23.0,0.17,84.0,0.57
165.0,Dang,Vazat Amba,20.87833,73.51833,8.25,466,312,230.0,0.0,244.0,21.0,12.0,7.26,0.13,200.0,56.0,22.0,13.0,0.24,52.0,0.37
166.0,Dang,Sodmal,20.86667,73.61667,8.18,425,285,200.0,0.0,220.0,21.0,10.0,1.7,0.23,180.0,40.0,24.0,14.0,0.31,61.0,0.43
167.0,Dang,Nadak khadi,20.80417,73.6125,8.12,482,323,200.0,0.0,220.0,35.0,14.0,9.02,0.21,180.0,48.0,19.0,28.0,0.33,54.0,0.86
168.0,Dang,Ghubita,20.8,73.7375,8.13,425,285,200.0,0.0,232.0,21.0,5.0,2.08,0.24,190.0,48.0,19.0,15.0,0.51,63.0,0.46
169.0,Dang,Chinchpada,20.6375,73.775,8.12,366,245,170.0,0.0,207.0,14.0,4.0,0.39,0.2,170.0,40.0,17.0,15.0,0.37,26.0,0.5
170.0,Dang,Bori Goatha 1,20.81083,73.50306,7.99,1755,1176,390.0,0.0,293.0,326.0,249.0,11.79,0.36,240.0,72.0,51.0,248.0,2.78,19.0,5.46
171.0,Devbhumi Dwarka,Ambardi,21.91667,69.85833,8.0,1540,1032,610.0,0.0,134.0,284.0,180.0,104.0,0.22,110.0,128.0,71.0,86.0,1.1,56.0,1.51
172.0,Devbhumi Dwarka,Aramda,22.43333,69.04167,7.9,1737,1164,560.0,0.0,403.0,376.0,62.0,3.3,0.38,330.0,84.0,85.0,180.0,5.7,25.0,3.31
173.0,Devbhumi Dwarka,Bhanvad,21.92778,69.79583,8.2,906,607,250.0,0.0,366.0,99.0,41.0,7.1,0.56,300.0,48.0,32.0,106.0,3.3,40.0,2.91
174.0,Devbhumi Dwarka,Bhogat1,21.99167,69.24583,7.8,3361,2252,641.0,0.0,244.0,787.0,293.0,16.3,1.04,200.0,108.0,90.0,425.0,11.0,18.0,7.3
175.0,Devbhumi Dwarka,Dwarka,22.24583,68.95833,7.92,2590,1735,370.0,0.0,366.0,518.0,200.0,72.0,0.11,300.0,56.0,56.0,378.0,34.0,18.0,8.54
176.0,Devbhumi Dwarka,Juvanpur,22.17083,69.36667,8.16,3612,2420,901.0,0.0,268.0,922.0,205.0,73.0,0.11,220.0,96.0,161.0,450.0,8.9,45.0,6.52
177.0,Devbhumi Dwarka,Kajuda,22.33333,69.70833,8.18,886,594,290.0,0.0,354.0,92.0,50.0,9.4,0.22,290.0,44.0,44.0,92.0,0.1,58.0,2.35
178.0,Devbhumi Dwarka,Kalyanpur,22.01667,69.39167,7.9,965,647,250.0,0.0,281.0,142.0,53.0,18.5,0.17,230.0,44.0,34.0,118.0,0.8,44.0,3.24
179.0,Devbhumi Dwarka,Khirsara,21.97917,69.6,7.92,1677,1124,671.0,0.0,256.0,347.0,102.0,63.2,0.14,210.0,168.0,61.0,102.0,1.5,40.0,1.71
180.0,Devbhumi Dwarka,Kuvadia,22.20139,69.58333,8.23,796,533,270.0,0.0,268.0,113.0,34.0,32.0,0.24,220.0,72.0,22.0,78.0,0.7,33.0,2.06
181.0,Devbhumi Dwarka,Modpar,21.85833,69.80833,7.89,1618,1084,320.0,0.0,195.0,383.0,72.0,54.0,0.45,160.0,88.0,24.0,242.0,3.3,80.0,5.88
182.0,Devbhumi Dwarka,Mojap,22.36667,68.98333,7.99,4362,2923,711.0,0.0,366.0,1149.0,210.0,24.0,0.69,300.0,92.0,117.0,706.0,4.9,21.0,11.52
183.0,Devbhumi Dwarka,Pindara1,22.24722,69.25833,7.95,860,576,270.0,0.0,195.0,142.0,91.0,1.9,0.57,160.0,76.0,19.0,90.0,8.9,9.0,2.38
184.0,Devbhumi Dwarka,Raval,21.99306,69.24583,7.69,2928,1962,1001.0,0.0,85.0,879.0,102.0,85.0,0.33,70.0,337.0,39.0,199.0,1.5,27.0,2.74
185.0,Devbhumi Dwarka,Salaya,22.30556,69.60417,8.0,1156,775,400.0,0.0,232.0,191.0,51.0,152.0,0.26,190.0,76.0,51.0,109.0,1.1,65.0,2.37
186.0,Devbhumi Dwarka,Samrasar1,22.375,69.10417,8.0,1829,1225,440.0,0.0,244.0,390.0,129.0,25.0,0.5,200.0,80.0,58.0,228.0,3.0,7.0,4.73
187.0,Devbhumi Dwarka,Vadtara,22.20833,69.5,8.29,416,279,160.0,0.0,146.0,50.0,22.0,2.71,0.29,120.0,36.0,17.0,28.0,2.21,20.0,0.96
188.0,Devbhumi Dwarka,Varwada,22.29167,68.96667,7.97,5892,3948,1341.0,0.0,195.0,1900.0,257.0,18.7,0.38,160.0,289.0,151.0,870.0,7.36,17.0,10.33
189.0,Devbhumi Dwarka,Vinjhalpur,22.15,69.6,8.28,838,561,280.0,0.0,317.0,99.0,45.0,20.8,0.2,260.0,32.0,49.0,84.0,1.24,44.0,2.18
190.0,Devbhumi Dwarka,Hambusar,22.4081,69.0543,8.14,1140,764,220.0,0.0,476.0,113.0,54.0,0.99,0.23,390.0,44.0,27.0,175.0,23.0,29.0,5.13
191.0,Devbhumi Dwarka,Vamansa,22.084,69.1887,7.8,6028,4039,1281.0,0.0,146.0,1758.0,384.0,113.0,1.48,120.0,124.0,236.0,811.0,6.33,28.0,9.86
113.0,Bhavnagar,Sajnasar,21.42872,71.91444,8.18,790,529,250.0,0.0,244.0,92.0,52.0,35.35,0.49,200.0,44.0,34.0,78.0,3.14,50.0,2.14
114.0,Bhavnagar,Sandhida,21.6875,71.75833,7.97,890,596,340.0,0.0,342.0,99.0,48.0,10.29,0.39,280.0,56.0,49.0,68.0,3.35,48.0,1.61
115.0,Bhavnagar,Talaja2,21.36575,72.02076,8.08,2000,1340,790.0,0.0,232.0,476.0,128.0,85.7,0.37,190.0,84.0,141.0,113.0,0.86,96.0,1.75
116.0,Bhavnagar,Timbi2,20.89445,71.20252,8.59,815,546,260.0,48.0,73.0,156.0,56.0,30.04,0.39,140.0,32.0,44.0,86.0,1.75,45.0,2.33
117.0,Bhavnagar,Trapaj,21.42437,72.09983,7.19,1475,988,670.0,0.0,281.0,163.0,160.0,175.0,0.34,230.0,132.0,83.0,58.0,1.11,74.0,0.97
118.0,Bhavnagar,Vadal,21.44738,71.85346,8.02,990,663,360.0,0.0,281.0,107.0,56.0,85.0,0.45,230.0,60.0,51.0,75.0,0.81,75.0,1.72
119.0,Bhavnagar,Vallbhipur,21.90037,71.87841,8.88,4835,3239,290.0,108.0,342.0,959.0,557.0,57.65,0.52,460.0,20.0,58.0,1030.0,5.65,43.0,26.3
120.0,Botad,Barvala,22.15,71.89167,8.53,7385,4948,300.0,192.0,915.0,1193.0,975.0,32.0,3.75,1200.0,24.0,58.0,1600.0,10.0,80.0,40.16
121.0,Botad,Kundali,22.26944,71.7,8.34,1017,681,320.0,48.0,183.0,170.0,18.0,17.81,1.05,230.0,40.0,54.0,92.0,0.63,60.0,2.23
122.0,Botad,Rajpada,22.30833,71.69167,8.33,4060,2720,1130.0,180.0,366.0,845.0,224.0,54.88,0.93,680.0,220.0,141.0,420.0,28.0,74.0,5.43
123.0,Botad,Ningala,22.01806,71.7,8.48,710,476,110.0,48.0,159.0,78.0,40.0,11.15,0.57,210.0,20.0,15.0,115.0,1.39,41.0,4.77
124.0,Botad,Tatam,22.05833,71.63333,8.09,4775,3199,1870.0,0.0,329.0,1207.0,300.0,180.0,0.56,270.0,176.0,348.0,300.0,2.66,79.0,3.02
125.0,Chhota udepur,Bhindol,22.20107,73.8971,8.3,2000,1340,440.0,138.0,616.0,170.0,17.0,0.4,1.39,735.0,28.0,90.0,251.0,1.35,57.0,5.21
126.0,Chhota udepur,Bodeli,22.27519,73.71561,7.88,2300,1541,430.0,0.0,451.0,553.0,16.0,20.9,0.35,370.0,64.0,66.0,326.0,5.96,36.0,6.82
127.0,Chhota udepur,Ferkuva,22.36392,74.2143,8.28,896,600,375.0,6.0,189.0,149.0,38.0,41.0,0.51,165.0,100.0,30.0,30.0,4.3,59.0,0.68
128.0,Chhota udepur,Ghamodi,22.36908,74.07344,8.28,495,332,180.0,6.0,207.0,28.0,5.0,14.1,0.86,180.0,52.0,12.0,29.0,1.46,73.0,0.94
129.0,Chhota udepur,Govindpura,22.21554,73.73999,8.32,7777,5211,1925.0,120.0,293.0,2269.0,221.0,23.0,1.36,440.0,180.0,359.0,915.0,4.94,30.0,9.07
130.0,Chhota udepur,Kevadi,22.52256,73.93433,7.89,660,442,310.0,0.0,256.0,128.0,10.0,25.1,0.93,210.0,72.0,32.0,32.0,3.56,62.0,0.8
131.0,Chhota udepur,Moti chikhali,22.01515,74.08063,7.88,606,406,400.0,0.0,317.0,113.0,15.0,33.6,1.38,260.0,56.0,63.0,28.0,0.79,67.0,0.6
132.0,Chhota udepur,Panwad,22.21018,74.03093,8.28,1240,831,490.0,36.0,256.0,177.0,89.0,1.3,0.48,270.0,100.0,58.0,54.0,8.97,23.0,1.06
133.0,Chhota udepur,Sengpur,22.08659,73.97762,8.09,1170,784,525.0,0.0,384.0,170.0,25.0,1.0,0.65,315.0,112.0,60.0,26.0,2.97,52.0,0.49
134.0,Chhota udepur,Vagudan,22.07119,74.10902,8.28,850,570,340.0,6.0,207.0,142.0,2.0,42.3,0.84,180.0,120.0,10.0,28.0,11.21,78.0,0.66
135.0,Dahod,Limbdi,23.00571,74.15355,7.84,598,401,170.0,0.0,281.0,57.0,10.0,1.2,1.0,230.0,32.0,22.0,71.0,4.8,25.0,2.37
136.0,Dahod,Sukhsar,23.1491,74.03478,7.8,654,438,140.0,0.0,232.0,43.0,31.0,45.0,0.9,190.0,32.0,15.0,87.0,1.4,27.0,3.2
137.0,Dahod,Dadhela,22.84035,74.0835,7.97,618,414,200.0,0.0,244.0,57.0,36.0,27.0,1.3,200.0,40.0,24.0,63.0,4.7,29.0,1.94
138.0,Dahod,Dahod Urban-1,22.87508,74.22925,7.98,425,285,150.0,0.0,146.0,28.0,27.0,39.0,1.1,120.0,32.0,17.0,36.0,0.32,72.0,1.28
139.0,Dahod,Dahod Urban-2,22.84091,74.25566,7.72,2815,1886,781.0,0.0,281.0,603.0,145.0,150.0,2.9,230.0,108.0,124.0,280.0,4.2,32.0,4.36
140.0,Dahod,Dahod2,22.8311,74.23284,8.07,1789,1199,370.0,0.0,354.0,319.0,106.0,55.0,2.0,290.0,40.0,66.0,260.0,2.5,29.0,5.88
141.0,Dahod,Dahod Urban-3,22.82589,74.26364,7.92,1389,931,300.0,0.0,329.0,184.0,139.0,80.0,0.67,270.0,48.0,44.0,194.0,2.9,35.0,4.87
142.0,Dahod,Varamkheda,22.77518,74.28866,7.56,691,463,230.0,0.0,281.0,78.0,26.0,4.6,1.0,230.0,48.0,27.0,66.0,3.1,10.0,1.89
143.0,Dahod,Panchwada,22.72895,74.30539,8.11,790,529,240.0,0.0,378.0,57.0,28.0,21.0,1.4,310.0,28.0,41.0,89.0,3.7,23.0,2.5
