Sl.,District,Site,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F, Alk,Ca,Mg,TH,Na,K,SAR
483,Rajkot,Virnagar,7.99,2167,1452,0,427,489,34,95,0.62,350,52,122,631,265,0.36,4.6
484,Rajkot,Dhorajee,7.63,645,432,0,146,121,5.8,37,0.35,120,40,29,220,52,3.2,1.5
485,Rajkot,Jamvadi,7.43,729,488,0,183,135,4.8,40,0.5,150,48,29,240,62,3.6,1.7
486,Rajkot,Ganod,7.68,6006,4024,0,464,1432,27,694,2.9,380,128,122,821,1125,1.9,17.1
487,Rajkot,Targhari,7.78,657,440,0,220,99,4.8,33,0.81,180,36,29,210,66,1.3,2
488,Rajkot,Chordi,7.47,1199,803,0,244,206,102,51,0.75,200,112,41,450,70,0.37,1.4
489,Rajkot,kamlapur,7,2702,1810,0,73,716,125,172,0.59,60,253,29,751,292,2.3,4.6
490,Rajkot,Khirsara,7.14,1450,972,0,415,241,6.4,80,0.1,340,100,68,530,93,3.9,1.8
491,Rajkot,Dadiya,7.56,850,570,0,134,106,102,83,0.4,110,52,41,300,56,0.83,1.4
492,Rajkot,Vinchchiya,7.38,1778,1191,0,342,291,128,123,0.66,280,136,58,580,150,2.2,2.7
493,Rajkot,Halenda,7.49,1767,1184,0,342,333,48,121,0.46,280,64,114,631,122,4.8,2.1
494,Rajkot,Khamta,7.87,2246,1505,0,329,383,93,228,0.53,270,100,63,510,259,6.1,5
495,Rajkot,Sardhar 2,7.72,1735,1162,0,610,184,37,84,0.38,500,64,46,350.28,185,74,4.3
496,Rajkot,Jasapar,7.69,1054,706,0,73,170,82,117,0.33,60,68.136,39,330.264,72,0.8,1.7
497,Rajkot,Ranpur,7.46,2019,1353,0,159,539,24,121,0.3,130,204.408,68,790.632,95,0.43,1.4
498,Rajkot,Jasdan 2,7.64,867,581,0,281,99,23,46,0.34,230,76,32,320.256,47,0.56,1.1
499,Rajkot,Paddhari,7.49,5749,3852,0,464,1347,119,586,0.82,380,220,139,1120.9,793,1.4,10.3
500,Rajkot,Ribda,7.41,2327,1559,0,244,674,10,76,0.37,200,224,68,840.672,148,15,2.2
501,Sabarkantha,Boriya,7.6,2784,1865.28,0,403,483,148,282,0.67,331,152,122,880,266,1.2,3.9
502,Sabarkantha,Umedpura,7.9,1544,1034.48,0,488,199,72,97,1.6,400,64,78,480,166,0.7,3.29
503,Sabarkantha,Harsol1,7.8,1456,975.52,0,488,156,73,119,2.1,400,60,41,320,199,0.96,4.84
504,Sabarkantha,varvada,7.8,2334,1563.78,0,732,412,15,47,1.5,600,120,112,760,206,12.9,3.25
505,Sabarkantha,Kesarpura(Mayal),7.92,1657,1110.19,0,366,199,146,193,2,300,60,51,360,235,0.44,5.39
506,Sabarkantha,Virpur_1(Himmat),7.8,593,397.31,0,244,36,33,15,0.81,200,12,51,240,27,0.39,0.76
507,Sabarkantha,Gadha1,7.87,2875,1926.25,0,476,511,147,190,1.8,390,148,27,480,452,2.3,8.97
508,Sabarkantha,Bhadreshwar(Daramli),7.74,2470,1654.9,0,634,355,44,179,1.9,520,72,68,460,364,1.57,7.38
509,Sabarkantha,Virpur2,7.86,1910,1279.7,0,354,341,64,180,2.2,290,68,29,290,338,3.59,8.63
510,Sabarkantha,Sabalwad,7.64,1186,794.62,0,342,121,76,128,2.3,281,108,24,370,117,1.14,2.64
511,Sabarkantha,Chandap_DW,7.76,1754,1175.18,0,329,376,50,125,1,270,148,39,530,180,5.17,3.4
512,Sabarkantha,Vadali,7.73,1155,773.85,0,244,156,95,86,1.4,200,112,17,350,102,3.45,2.37
513,Sabarkantha,Silwad,7.6,4722,3163.74,0,561,1264,91,135,1.2,460,208,180,1260,516,13.98,6.32
514,Sabarkantha,Khedbramha_1,7.65,3750,2512.5,0,256,966,135,126,1.2,210,384,73,1260,292,2.36,3.58
515,Sabarkantha,Matoda,7.5,3071,2057.57,0,390,738,68,159,0.64,320,240,54,820,317,24.3,4.81
516,Sabarkantha,Hingatiya,7.69,2306,1545.02,0,464,398,43,139,2.28,381,112,88,640,251,7.65,4.31
517,Sabarkantha,Poshina2,7.71,1320,884.4,0,488,128,42,110,1.29,400,108,44,450,113,3.5,2.32
518,Sabarkantha,Idar,8.1,1565,1048.55,0,549,199,35,99,2.33,450,84,44,390,209,4.76,4.6
519,Sabarkantha,Mathasuliya,7.7,1842,1234.14,0,293,284,185,186,0.7,240,152,17,450,203,0.83,4.16
520,Sabarkantha,kherwada,7.79,690,462.3,0,195,92,1.6,45,0.6,160,68,7.3,200,57,1.66,1.75
521,Sabarkantha,Atarsumba_2,7.75,984,659.28,0,244,142,43,89,0.52,200,100,12,300,90,2.28,2.26
522,Sabarkantha,Abhapur,7.22,512,343.04,0,268,36,3.4,3,0.38,220,64,12,210,24,9.1,0.72
523,Sabarkantha,Kesharpura,7.44,1337,895.79,0,305,213,123,68,0.63,250,84,75,520,67,1.6,1.28
524,Sabarkantha,Choriwad,7.45,2004,1342.68,0,293,426,165,127,0.6,240,280,34,840,77,2.1,1.16
525,Sabarkantha,Revas,7.58,1820,1219.4,0,342,284,185,140,0.91,281,168,73,720,87,0.97,1.41
526,Surat,Bhatkol,7.04,764,511.88,0,366,57,2,37,0.22,300,68,36,320,44,2.5,1.06
527,Surat,Kathor,8.07,972,651.24,0,427,85,19,33,0.26,350,72,49,380,61,22,1.36
528,Surat,Mota,7.87,1050,703.5,0,464,92,1,61,0.88,381,80,41,370,98,0.95,2.21
529,Surat,Ten-bardoli,7.86,550,368.5,0,281,36,2,8,0.29,230,76,19,270,15,0.21,0.42
530,Surat,Jiav,7.93,442,296.14,0,134,36,65,19,0.18,110,48,19,200,11,0.43,0.35
531,Surat,Sultanabad,7.7,900,603,0,293,92,44,43,0.14,240,92,22,320,58,13,1.41
532,Surat,Gaviyar,7.79,478,320.26,0,183,36,35,12,0.26,150,60,15,210,16,0.3,0.48
533,Surat,Kodad,7.79,608,407.36,0,171,57,49,38,0.31,140,72,22,270,16,0.79,0.43
534,Surat,Kasal,7.93,660,442.2,0,268,57,29,37,0.21,220,76,29,310,19,0,0.47
535,Surat,Nogama,8.22,625,418.75,0,317,43,7,19,0.16,260,52,2,140,88,0.74,3.25
536,Surat,Ushker,8.07,538,360.46,0,293,28,1,5,0.22,240,56,29,260,16,0.74,0.44
537,Surat,Dungri,7.85,340,227.8,0,134,28,16,15,0.24,110,48,10,160,11,0.63,0.41
538,Surat,Paneshwar,8,455,304.85,0,232,21,2,33,0.38,190,40,7,130,54,0.98,2.05
539,Surat,Katradevi,7.86,390,261.3,0,195,21,8,18,0.31,160,52,12,180,12,0.28,0.4
540,Surat,Juna umarpada,7.95,646,432.82,0,317,43,9,24,0.39,260,68,34,310,18,0.17,0.45
541,Surat,Chavada2,7.86,365,244.55,0,134,21,39,33,0.35,110,40,19,180,10,0.13,0.33
542,Surat,Sarkui,8.04,430,288.1,0,244,21,2,13,0.34,200,52,17,200,18,0.22,0.55
543,Surat,Khervada,7.9,450,301.5,0,195,36,20,28,0.27,160,52,19,210,16,1.51,0.49
544,Surat,Mandvi2,8,515,345.05,0,220,43,27,15,0.27,180,60,22,240,13,0.17,0.36
545,Surat,Moti Chher,8.04,470,314.9,0,232,28,7,13,0.28,190,52,24,230,13,0,0.37
546,Surat,Jesingpura [sg],7.98,652,436.84,0,281,64,8,29,0.28,230,80,29,320,16,0,0.38
547,Surat,Uchchhal1,7.97,838,561.46,0,342,57,11,55,0.57,281,108,19,350,38,0.94,0.88
548,Surat,Nizar1,8.05,865,579.55,0,329,107,17,42,0.36,270,84,49,410,25,0.25,0.54
549,Surat,Sarbhon,8.03,815,546.05,0,342,78,18,29,0.36,281,92,32,360,27,0.13,0.62
550,Surat,Allu,7.65,855,572.85,0,390,71,0,16,0,320,48,17,190,107,15,3.38
551,Surat,Valod,8.16,2675,1792.25,0,634,419,24,156,0.13,520,48,46,310,400,17,9.88
552,Surat,Kelkui,8.03,1173,785.91,0,586,85,8,58,0.1,481,72,36,330,104,65,2.48
553,Surat,Bedchit,8.36,995,666.65,48,354,99,3,20,0.23,370,104,19,340,84,5.75,1.97
554,Surat,Vaheval,8.25,1435,961.45,0,708,92,10,72,1.07,581,28,44,250,245,2.13,6.74
555,Surat,Vyara1,7.66,989,662.63,0,378,107,10,45,0.57,310,104,34,400,51,1.5,1.11
556,Surendranagar,Dhandhalpur 1,7.79,865,580,0,305,78,9.2,26,0.46,250,44,32,240,72,4.9,2
557,Surendranagar,Kherva,7.63,1473,987,0,171,297.78,0.72,169,0.7,140,68,27,280,220,6,5.7
558,Surendranagar,Moti Moladi,7.56,9627,6450,0,232,2921,170,550,0.73,190,673,666,4424,342,3.4,2.2
559,Surendranagar,Muli,7.95,5506,3689.02,0,561,1489,55,9.8,3.6,460,152,109,831,775,2.8,11.7
560,Surendranagar,Bajana,7.91,854,572.18,0,281,77.99,2.4,69,0.54,230,64,10,200,89,4.7,2.7
561,Surendranagar,Thangadh,7.38,5537,3710,0,281,1305,80,600,0.22,230,385,85,1311,612,1.4,7.4
562,Surendranagar,Surendranagar,7.99,1518,1017.06,0,342,199,14,249,0.8,280,40,54,320,222,0.12,5.4
563,Surendranagar,Anindra,7.42,464,311,0,171,21,3.1,39,0.77,140,48,7.3,150,30,5.9,1.1
564,Surendranagar,Sara,7.44,2346,1572,0,244,539,17,200,1.1,200,100,39,410,327,3.1,7
565,Surendranagar,Jhinjhuvada,7.52,900,603,0,427,64,1.6,33,0.74,350,52,32,260,85,20,2.3
566,Surendranagar,Sudamba,7.86,3022,2025,0,390,546,207,255,0.76,320,261,85,1001,211,3.3,2.9
567,Surendranagar,Baman Bor,7.5,1458,977,0,366.06,177,85,138,0.73,300,152,44,560.448,79,1.6,1.5
568,Surendranagar,Lakhtar,7.63,830,556,0,353.858,71,2.7,39,2.1,290,64,15,220.176,89,9.4,2.6
569,Surendranagar,Tarnetar,7.54,4522,3030,0,292.848,1170,12,378,0.84,240,156,83,730.584,674,4.6,10.8
570,Surendranagar,Dhangadhara,7.58,2304,1544,0,280.646,383,5.9,410,0.57,230,208,66,790.632,168,7.4,2.6
571,Surendranagar,Shiyani,7.81,1920,1286,0,244.04,383,1,255,0.36,200,96,29,360.288,276,6.4,6.3
572,Surendranagar,Visawadi,7.24,4205,2817,0,219.636,1262,13,163,0.31,180,393,158,1631.3,195,28,2.1
573,Surendranagar,Sarla,7.49,2095,1404,0,512.484,369,32,54,1.8,420,148,61,620.496,170,55,3
574,Surendranagar,Dhama,8.05,3350,2245,0,488.08,510,135,430,2.4,400,96,85,590.472,408,182,7.3
575,Vadodara,ONGC,8.59,3301,2211.67,72,683,596,1.7,140,1.5,680,20.04,77.824,370,587,1.5,13.27
576,Vadodara,Kevda Bag,7.6,700,469,0,329,50,7.1,26,0.79,270,32.064,19.456,160,92,9.8,3.16
577,Vadodara,Masor,7.89,1290,864.3,0,781,35,2.4,12,2.8,641,12.024,12.16,80,290,1.4,14.1
578,Vadodra,Rasulpura,7.64,975,653.25,0,390,113,23,39,0.41,320,56.112,68.096,420,50,0.82,1.06
579,Vadodra,Saidal,7.65,3063,2052.21,0,403,652,159,158,0.85,331,80.16,182.4,951,264,3,3.72
580,Vadodra,Amreshwar,7.86,615,412.05,0,293,57,0.16,11,0.51,240,60.12,12.16,200,64,0.89,1.97
581,Vadodra,Patiyapura,7.93,1530,1025.1,0,476,213,71,97,0.63,390,56.112,114.304,610,109,0.72,1.92
582,Vadodra,Sinor,8.2,1079,722.93,0,500,64,45,40,0.75,410,40.08,85.12,450,67,0.73,1.37
583,Vadodra,Vega,8.18,1522,1019.74,0,573,177,8.6,104,0.45,470,104.208,38.912,420,170,31,3.61
584,Vadodra,Tundav,7.89,1929,1292.43,0,439,305,63,178,1.7,360,68.136,38.912,330,296,26,7.08
585,Vadodra,Juna Somaliya,8.08,1235,827.45,0,366,220,12,32,0.79,300,40.08,41.344,270,166,0.65,4.39
586,Vadodra,Chhaliyar,8.35,1236,828.12,36,586,64,33,19,2,541,20.04,17.024,120,254,0.41,10.08
587,Vadodra,Vejpur,8.66,3522,2359.74,96,744,681,2.1,173,2.3,770,24.048,55.936,290,760,6.4,19.4
588,Valsad,Dharampur 3,7.83,497,332.99,0,195,43,25,23,0.28,160,48,19,200,34,0.28,1.08
589,Valsad,Awadha,8.15,1396,935.32,0,366,284,15,82,0.22,300,60,95,540,105,0.22,1.96
590,Valsad,Lakadmal,7.23,714,478.38,0,305,71,4,31,5.81,250,20,56,280,50,5.81,1.31
591,Valsad,Mandwa,7.89,560,375.2,0,256,57,6,16,0.42,210,88,5,240,33,0.42,0.92
592,Valsad,Kaparda,8.25,447,299.49,0,195,36,6,19,0.66,160,44,22,200,20,1.98,0.61
593,Valsad,Chavshala,7.95,566,379.22,0,220,64,6,31,0.43,180,52,19,210,40,0.33,1.2
594,Valsad,Fali,8.2,432,289.44,0,134,50,25,28,0.26,110,44,17,180,21,5.21,0.67
595,Valsad,Karwad,8.07,237,158.79,0,73,21,25,21,0.3,60,32,2,90,17,0.8,0.78
596,Valsad,Balitha (Vapi),8.02,230,154.1,0,73,21,25,17,0.11,60,20,12,100,8,4.47,0.37
597,Valsad,Bhilad,6.99,356,238.52,0,171,28,3,15,0.15,140,40,15,160,16,1.36,0.55
598,Valsad,Tumb,7.97,668,447.56,0,281,71,4,4,0.22,230,56,24,240,45,8.1,1.26
599,Valsad,Umargaon,8.03,641,429.47,0,281,57,12,50,0.34,230,56,22,230,59,0.54,1.68
600,Valsad,Kanadu,7.63,943,631.81,0,366,114,24,58,0.28,300,80,49,400,57,0.24,1.25
601,Valsad,Udwada,8.07,820,549.4,0,220,128,30,75,0.44,180,64,44,340,54,0.49,1.27
